x_des,y_des,psi_des
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.484537568429285859e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.485079563230500721e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.485411799783262765e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.485461024841046029e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.485461024841046029e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.484064021508453290e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.483591780018299833e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.483032180286730561e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.483032180286730561e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.483032180286730561e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.479766493329879751e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.475223697093043018e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.472905899276550912e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.472905899276550912e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.471225456417587729e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.468694293608150403e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.467529432180990412e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.467529432180990412e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.466387378753321702e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.466171958647764839e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.466171958647764839e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.466988918949349241e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.466988918949349241e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.467897840296823464e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.470301064398226387e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.473266750424156335e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.473266750424156335e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.476387279701487198e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.480359721864530353e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.483588604464861849e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.483588604464861849e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.485588857288026254e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.485588857288026254e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.489328197138989562e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.490370227641943046e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.490990782902407830e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.490761478374313942e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.490119997134409235e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.489553003001509168e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.487409747629726553e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.484933268607012913e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.483628409372844459e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.480737438951718943e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.477725307335922000e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.473951351298572909e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.469306626192915299e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.466366112224263052e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.466366112224263052e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.461972274129651694e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.461972274129651694e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.456797450950714001e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.456797450950714001e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.456703910885669639e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.456703910885669639e+00
-2.299999988079071134e+00,-1.799999982118606567e+00,-2.459035171456261715e+00
