x,y,yaw
-6.722959689795970917e-03,1.810647919774055481e-02,-8.577272437253301574e-01
-6.692518945783376694e-03,1.829654537141323090e-02,-8.946962969312496350e-01
-6.692518945783376694e-03,1.829654537141323090e-02,-8.946962969312496350e-01
-6.692518945783376694e-03,1.829654537141323090e-02,-8.946962969312496350e-01
-6.344253662973642349e-03,1.832562312483787537e-02,-9.725222659624961352e-01
-6.344253662973642349e-03,1.832562312483787537e-02,-9.725222659624961352e-01
-6.167289335280656815e-03,1.879155449569225311e-02,-1.015338306311173611e+00
-6.009939592331647873e-03,1.846157200634479523e-02,-1.037668325740721098e+00
-5.954205058515071869e-03,1.848734170198440552e-02,-1.074849121939819074e+00
-5.620535928755998611e-03,1.864056847989559174e-02,-1.117181580547926822e+00
-5.530082155019044876e-03,1.856706663966178894e-02,-1.129167057606240698e+00
-5.483580753207206726e-03,1.850847341120243073e-02,-1.143280450539614135e+00
-5.336525384336709976e-03,1.850611716508865356e-02,-1.155409990378120089e+00
-4.740120843052864075e-03,1.862325333058834076e-02,-1.220767382384899680e+00
-4.740120843052864075e-03,1.862325333058834076e-02,-1.220767382384899680e+00
-4.613849334418773651e-03,1.856021024286746979e-02,-1.242889992444440317e+00
-4.613849334418773651e-03,1.856021024286746979e-02,-1.242889992444440317e+00
-4.433545749634504318e-03,1.866688765585422516e-02,-1.273567256196580733e+00
-4.143602214753627777e-03,1.868124678730964661e-02,-1.297794180879349835e+00
-3.746048547327518463e-03,1.851780340075492859e-02,-1.335091508990311260e+00
-3.323250683024525642e-03,1.877512596547603607e-02,-1.386223910672031101e+00
-3.323250683024525642e-03,1.877512596547603607e-02,-1.386223910672031101e+00
-2.760948147624731064e-03,1.838294230401515961e-02,-1.437558982351872849e+00
-2.452334854751825333e-03,1.844870857894420624e-02,-1.466492444544873042e+00
-2.452334854751825333e-03,1.844870857894420624e-02,-1.466492444544873042e+00
-2.452334854751825333e-03,1.844870857894420624e-02,-1.466492444544873042e+00
-2.452334854751825333e-03,1.844870857894420624e-02,-1.466492444544873042e+00
-1.938816742040216923e-03,1.809401996433734894e-02,-1.517374268628792766e+00
-1.464928151108324528e-03,1.800741255283355713e-02,-1.552662497236691141e+00
-1.135611790232360363e-03,1.824900880455970764e-02,-1.582211377937105201e+00
-3.500744933262467384e-04,1.785063371062278748e-02,-1.658973472377124114e+00
-3.500744933262467384e-04,1.785063371062278748e-02,-1.658973472377124114e+00
-2.623190812300890684e-05,1.765137352049350739e-02,-1.696579863263333099e+00
-2.623190812300890684e-05,1.765137352049350739e-02,-1.696579863263333099e+00
2.394818875472992659e-04,1.714376918971538544e-02,-1.733348852724719391e+00
5.701988702639937401e-04,1.742259971797466278e-02,-1.757479424605971952e+00
8.069011964835226536e-04,1.734361052513122559e-02,-1.789470681936235152e+00
8.069011964835226536e-04,1.734361052513122559e-02,-1.789470681936235152e+00
1.292054657824337482e-03,1.704658009111881256e-02,-1.852402759125527876e+00
1.292054657824337482e-03,1.704658009111881256e-02,-1.852402759125527876e+00
1.570179127156734467e-03,1.693879067897796631e-02,-1.882255879422416900e+00
1.813602051697671413e-03,1.679702848196029663e-02,-1.910324813115549247e+00
2.131928922608494759e-03,1.636020094156265259e-02,-1.946907764615589009e+00
2.289120806381106377e-03,1.599142141640186310e-02,-1.984427948606548586e+00
2.289120806381106377e-03,1.599142141640186310e-02,-1.984427948606548586e+00
2.535088919103145599e-03,1.555341202765703201e-02,-2.021635794151621646e+00
2.874842379242181778e-03,1.553876604884862900e-02,-2.047335164777390304e+00
2.874842379242181778e-03,1.553876604884862900e-02,-2.047335164777390304e+00
3.257112810388207436e-03,1.525726821273565292e-02,-2.103961939724813490e+00
3.481399966403841972e-03,1.513988524675369263e-02,-2.139502468659402190e+00
3.481399966403841972e-03,1.513988524675369263e-02,-2.139502468659402190e+00
3.643142990767955780e-03,1.494741626083850861e-02,-2.165183354954995920e+00
3.959526773542165756e-03,1.473052147775888443e-02,-2.196360623565182024e+00
4.218931775540113449e-03,1.429589092731475830e-02,-2.244429117769405124e+00
4.218931775540113449e-03,1.429589092731475830e-02,-2.244429117769405124e+00
4.502627998590469360e-03,1.385059766471385956e-02,-2.310369450859047102e+00
4.577946383506059647e-03,1.374722272157669067e-02,-2.320962713341723216e+00
4.635327029973268509e-03,1.379254274070262909e-02,-2.333174437530521672e+00
4.635327029973268509e-03,1.379254274070262909e-02,-2.333174437530521672e+00
4.960695281624794006e-03,1.380270440131425858e-02,-2.372085538273482008e+00
4.987991414964199066e-03,1.365989074110984802e-02,-2.401667072142526838e+00
4.987991414964199066e-03,1.365989074110984802e-02,-2.401667072142526838e+00
4.925704561173915863e-03,1.357899978756904602e-02,-2.424860474819370282e+00
5.450834054499864578e-03,1.340153533965349197e-02,-2.491328441766699431e+00
5.564933642745018005e-03,1.344651822000741959e-02,-2.527749974298759916e+00
5.564933642745018005e-03,1.344651822000741959e-02,-2.527749974298759916e+00
5.749611184000968933e-03,1.331663597375154495e-02,-2.569152535528874015e+00
5.716068204492330551e-03,1.321943942457437515e-02,-2.595345269748066563e+00
5.829904228448867798e-03,1.335254311561584473e-02,-2.630599008842894548e+00
5.829904228448867798e-03,1.335254311561584473e-02,-2.630599008842894548e+00
5.829904228448867798e-03,1.335254311561584473e-02,-2.630599008842894548e+00
6.038909312337636948e-03,1.330092642456293106e-02,-2.681400296451643683e+00
6.092777475714683533e-03,1.330229919403791428e-02,-2.722498142872777471e+00
6.175648886710405350e-03,1.308266911655664444e-02,-2.746460894301296918e+00
6.022682879120111465e-03,1.277777459472417831e-02,-2.787214734115551540e+00
