x,y,yaw
3.495652914047241211e+00,-8.894457817077636719e-01,-1.833085286005136760e+00
3.493251562118530273e+00,-8.964143395423889160e-01,-1.824672860787138529e+00
3.492483139038085938e+00,-9.020090103149414062e-01,-1.838912647338765805e+00
3.495135307312011719e+00,-9.034783244132995605e-01,-1.897861833221713201e+00
3.498061656951904297e+00,-9.050021171569824219e-01,-1.961620393274844387e+00
3.500390052795410156e+00,-9.064831733703613281e-01,-2.015529438233337522e+00
3.502255201339721680e+00,-9.068135023117065430e-01,-2.055901375029001166e+00
3.503662824630737305e+00,-9.079019427299499512e-01,-2.090622559214625920e+00
3.504301309585571289e+00,-9.081153869628906250e-01,-2.104272708061238006e+00
3.505608320236206055e+00,-9.087091684341430664e-01,-2.134977552060445483e+00
3.506697416305541992e+00,-9.096585512161254883e-01,-2.163151606424915663e+00
3.507402420043945312e+00,-9.111030697822570801e-01,-2.188850336237198935e+00
3.498508691787719727e+00,-9.248402118682861328e-01,-2.214417496011305886e+00
3.485223054885864258e+00,-9.428910613059997559e-01,-2.226420740676241294e+00
3.467345952987670898e+00,-9.659684896469116211e-01,-2.229875053795879580e+00
3.450016498565673828e+00,-9.876258969306945801e-01,-2.226264904137915224e+00
3.435770750045776367e+00,-1.006042242050170898e+00,-2.222775323544738058e+00
3.421250820159912109e+00,-1.024527311325073242e+00,-2.217757767299718630e+00
3.410507202148437500e+00,-1.038181543350219727e+00,-2.212604819845763515e+00
3.401008605957031250e+00,-1.050514101982116699e+00,-2.208399759672877494e+00
3.392450809478759766e+00,-1.061255693435668945e+00,-2.202723568986421299e+00
3.385206460952758789e+00,-1.071031808853149414e+00,-2.198419532102702689e+00
3.377972841262817383e+00,-1.080486655235290527e+00,-2.193037716761846667e+00
3.371580600738525391e+00,-1.088725805282592773e+00,-2.187306061725476702e+00
3.366838216781616211e+00,-1.094018101692199707e+00,-2.179598105654888318e+00
3.362061977386474609e+00,-1.100620746612548828e+00,-2.174593133153642555e+00
3.358049154281616211e+00,-1.105893850326538086e+00,-2.167535743698079997e+00
3.353888511657714844e+00,-1.110176205635070801e+00,-2.148561940548122884e+00
3.349809885025024414e+00,-1.109026193618774414e+00,-2.066114834874110517e+00
3.346695661544799805e+00,-1.107495307922363281e+00,-1.995625333580872907e+00
3.343037128448486328e+00,-1.106332898139953613e+00,-1.916973888413657123e+00
3.340592384338378906e+00,-1.105069875717163086e+00,-1.860762624279932442e+00
3.338735103607177734e+00,-1.104391932487487793e+00,-1.818051752155000145e+00
3.337417840957641602e+00,-1.104120373725891113e+00,-1.789431752239570406e+00
3.336408853530883789e+00,-1.103737831115722656e+00,-1.768980414186495764e+00
3.335341453552246094e+00,-1.103463530540466309e+00,-1.747075804992974879e+00
3.332785606384277344e+00,-1.110162973403930664e+00,-1.705781826548637081e+00
3.329368829727172852e+00,-1.126482009887695312e+00,-1.686131023750981228e+00
3.326467514038085938e+00,-1.146365046501159668e+00,-1.677230823293842210e+00
3.322907209396362305e+00,-1.175973176956176758e+00,-1.672916827892033664e+00
3.319226980209350586e+00,-1.207349419593811035e+00,-1.671596670356305436e+00
3.317264556884765625e+00,-1.228811860084533691e+00,-1.674595102131950730e+00
3.316200971603393555e+00,-1.239787578582763672e+00,-1.675489240908656585e+00
3.313597917556762695e+00,-1.265272140502929688e+00,-1.675560779223789876e+00
3.311215639114379883e+00,-1.283601999282836914e+00,-1.676069816901344156e+00
3.309575557708740234e+00,-1.298614621162414551e+00,-1.675764453909116769e+00
3.308310031890869141e+00,-1.311659812927246094e+00,-1.675199336400024830e+00
3.306952953338623047e+00,-1.321046471595764160e+00,-1.671372592155240033e+00
3.306307792663574219e+00,-1.330029010772705078e+00,-1.673151292018773661e+00
3.305710077285766602e+00,-1.336495041847229004e+00,-1.670973777270888583e+00
3.304441452026367188e+00,-1.345724344253540039e+00,-1.666904300746640200e+00
3.303275346755981445e+00,-1.349680542945861816e+00,-1.649520908981805478e+00
3.300366401672363281e+00,-1.350270390510559082e+00,-1.593195403721626047e+00
3.296851396560668945e+00,-1.350405573844909668e+00,-1.522899293821686983e+00
3.294785737991333008e+00,-1.351122021675109863e+00,-1.478607920990477886e+00
3.292860507965087891e+00,-1.351216435432434082e+00,-1.439283130672550204e+00
3.290735960006713867e+00,-1.351352930068969727e+00,-1.398093128214899616e+00
3.289558887481689453e+00,-1.351658821105957031e+00,-1.371048056554099670e+00
3.288412094116210938e+00,-1.351072788238525391e+00,-1.351037343641846800e+00
3.287155628204345703e+00,-1.353310465812683105e+00,-1.319026924359574693e+00
3.289907693862915039e+00,-1.368808865547180176e+00,-1.295605954780583824e+00
3.294200181961059570e+00,-1.385927796363830566e+00,-1.283803496257553967e+00
3.303676605224609375e+00,-1.418338298797607422e+00,-1.277645496426538907e+00
3.310513734817504883e+00,-1.440768837928771973e+00,-1.278357572179015689e+00
3.318521499633789062e+00,-1.467273354530334473e+00,-1.281495019351617470e+00
3.324694395065307617e+00,-1.487084865570068359e+00,-1.283845944129418992e+00
3.330786466598510742e+00,-1.507308602333068848e+00,-1.286452911517266040e+00
3.334501743316650391e+00,-1.519876122474670410e+00,-1.286739210820431190e+00
3.338985204696655273e+00,-1.535176396369934082e+00,-1.288569121024746522e+00
3.342446565628051758e+00,-1.546538949012756348e+00,-1.289486026642369332e+00
3.345101356506347656e+00,-1.555163025856018066e+00,-1.293070871655816578e+00
3.347903013229370117e+00,-1.564632534980773926e+00,-1.294091214584907501e+00
3.350783824920654297e+00,-1.574091315269470215e+00,-1.295547442915049086e+00
3.352772235870361328e+00,-1.580742001533508301e+00,-1.297424330919181301e+00
3.354760646820068359e+00,-1.587145686149597168e+00,-1.299561673482227953e+00
3.357069730758666992e+00,-1.593847274780273438e+00,-1.305883160285821631e+00
3.362279891967773438e+00,-1.597909331321716309e+00,-1.386532248456656902e+00
3.369034290313720703e+00,-1.598016381263732910e+00,-1.525653055906184052e+00
3.374545097351074219e+00,-1.597311735153198242e+00,-1.639279434566364602e+00
3.382470607757568359e+00,-1.598280668258666992e+00,-1.798590203102817808e+00
3.390806674957275391e+00,-1.600368738174438477e+00,-1.968409975383436761e+00
3.396591901779174805e+00,-1.603552699089050293e+00,-2.100393955517593891e+00
3.399946212768554688e+00,-1.605677723884582520e+00,-2.181406751115828158e+00
3.402178525924682617e+00,-1.607185125350952148e+00,-2.234506055125977220e+00
3.402563810348510742e+00,-1.607483744621276855e+00,-2.244171728688249434e+00
3.404588699340820312e+00,-1.609456777572631836e+00,-2.300408324300923901e+00
3.405587673187255859e+00,-1.610005259513854980e+00,-2.321423667729123785e+00
3.406125783920288086e+00,-1.611182928085327148e+00,-2.346026342182578439e+00
3.406813383102416992e+00,-1.612119317054748535e+00,-2.367050684368407154e+00
3.400999307632446289e+00,-1.619211316108703613e+00,-2.393929852597070695e+00
3.382365942001342773e+00,-1.637162566184997559e+00,-2.416395012938084008e+00
3.364968538284301758e+00,-1.652429223060607910e+00,-2.421861798106867081e+00
3.342264890670776367e+00,-1.671488761901855469e+00,-2.423200833826755218e+00
