x_des,y_des,psi_des
3.186622825180781327e+00,-1.811915303585188930e+00,-2.397554936769692446e+00
3.186622825180781327e+00,-1.811915303585188930e+00,-2.392307261345733682e+00
3.186622825180781327e+00,-1.811915303585188930e+00,-2.388481825362138267e+00
3.186622825180781327e+00,-1.811915303585188930e+00,-2.385517776639562548e+00
3.186622825180781327e+00,-1.811915303585188930e+00,-2.380497143355340128e+00
3.186622825180781327e+00,-1.811915303585188930e+00,-2.373332510052209354e+00
3.186622825180781327e+00,-1.811915303585188930e+00,-2.367443245194624346e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.763901894723789443e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.734923875901133616e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.711149614094388482e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.686654980796197467e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.669371150815173177e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.652726570735961076e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.637057748360041476e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.612299231029993951e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.589328671529102621e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.570257358958505378e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.559202074351847767e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.544536539534739461e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.537991550076001523e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.530158759567430860e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.525944289582498392e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.520296182258935591e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.517657361877700506e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.510586199043363997e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.505842996291230307e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.502877149726816519e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.500551044849188997e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.498549573716691619e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.498577533223699021e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.494508051206619559e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.491539706319543246e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.489042983481382088e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.485707331854127844e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.481085820302729061e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.473770202096621240e+00
2.982739466402318573e+00,-1.667237813929013823e+00,2.470808980992175385e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.212503516891292765e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.204963387928211560e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.197941089172284368e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.189022434100401870e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.181824416545624867e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.171944762820181563e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.167535835117938792e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.162020073621976568e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.159048701368549761e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.153337488640580055e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.148049501266055650e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.143086075672365975e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.143169799553382049e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.142106982207375498e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.139962848940833773e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.138604983416968253e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.135504974645529241e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.132597793814944520e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.129201654920938491e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.125633902117778362e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.124453814915528316e+00
2.846089378890381383e+00,-1.457889411539647684e+00,2.117553566332304626e+00
2.598712936217632663e+00,-1.421766072677129511e+00,2.827213509198321262e+00
2.598712936217632663e+00,-1.421766072677129511e+00,2.846174059755867347e+00
2.598712936217632663e+00,-1.421766072677129511e+00,2.859664682179241968e+00
2.598712936217632663e+00,-1.421766072677129511e+00,2.881787284962875173e+00
2.598712936217632663e+00,-1.421766072677129511e+00,2.901278387153518157e+00
2.598712936217632663e+00,-1.421766072677129511e+00,2.924820252390327280e+00
2.598712936217632663e+00,-1.421766072677129511e+00,2.938107695495792093e+00
2.598712936217632663e+00,-1.421766072677129511e+00,2.951886390897868750e+00
2.598712936217632663e+00,-1.421766072677129511e+00,2.962088306495461065e+00
2.598712936217632663e+00,-1.421766072677129511e+00,2.968814575050251037e+00
2.598712936217632663e+00,-1.421766072677129511e+00,2.975354962719517271e+00
2.598712936217632663e+00,-1.421766072677129511e+00,2.978961901428001990e+00
2.598712936217632663e+00,-1.421766072677129511e+00,2.981879799131455844e+00
2.598712936217632663e+00,-1.421766072677129511e+00,2.988518862453284353e+00
2.598712936217632663e+00,-1.421766072677129511e+00,2.994826312352311337e+00
2.598712936217632663e+00,-1.421766072677129511e+00,2.999069851329368763e+00
2.598712936217632663e+00,-1.421766072677129511e+00,3.002264319131423775e+00
2.598712936217632663e+00,-1.421766072677129511e+00,3.003952377187547818e+00
2.598712936217632663e+00,-1.421766072677129511e+00,3.003607653303071778e+00
2.598712936217632663e+00,-1.421766072677129511e+00,3.010184250623671343e+00
2.598712936217632663e+00,-1.421766072677129511e+00,3.014146285110889334e+00
2.598712936217632663e+00,-1.421766072677129511e+00,3.015991717387076054e+00
2.598712936217632663e+00,-1.421766072677129511e+00,3.020532326560585457e+00
2.598712936217632663e+00,-1.421766072677129511e+00,3.028064055233897101e+00
2.598712936217632663e+00,-1.421766072677129511e+00,3.031297479868833467e+00
2.598712936217632663e+00,-1.421766072677129511e+00,3.035769583327262211e+00
2.598712936217632663e+00,-1.421766072677129511e+00,3.045545114185417734e+00
2.676932325380645850e+00,-1.659214440030887250e+00,-1.481800611809881429e+00
2.676932325380645850e+00,-1.659214440030887250e+00,-1.449256182316739361e+00
2.676932325380645850e+00,-1.659214440030887250e+00,-1.428281763928660908e+00
2.676932325380645850e+00,-1.659214440030887250e+00,-1.418627889237804141e+00
2.676932325380645850e+00,-1.659214440030887250e+00,-1.420712562415397340e+00
2.676932325380645850e+00,-1.659214440030887250e+00,-1.417829795601238008e+00
2.676932325380645850e+00,-1.659214440030887250e+00,-1.411451309669157439e+00
2.676932325380645850e+00,-1.659214440030887250e+00,-1.399443459518795230e+00
2.676932325380645850e+00,-1.659214440030887250e+00,-1.382143697141098970e+00
